Field	Type	Null	Key	Default	Extra
incidentRef	char(15)	NO		NULL	
date	date	NO		NULL	
ppuRef	char(10)	NO		NULL	
arrestMade	char(1)	NO		NULL	
victimSurname	char(12)	NO		NULL	
victimForename	char(12)	NO		NULL	
victimPersonSRN	char(7)	NO		NULL	
victimDOB	date	NO		NULL	
currentRiskLevel	char(12)	NO		NULL	
suspectSurname	char(12)	NO		NULL	
suspectForename	char(12)	NO		NULL	
suspectPersonSRN	char(7)	NO		NULL	
suspectDOB	date	NO		NULL	
relationship	char(20)	NO		NULL	
victimAddress	char(120)	NO		NULL	
ccnFlag	char(1)	NO		NULL	
incidentAddress	char(120)	NO		NULL	
ppuOwningArea	char(1)	NO		NULL	
initialRiskLevel	char(12)	NO		NULL	
