Field	Type	Null	Key	Default	Extra
ppuRef	char(10)	NO		NULL	
surname	char(16)	NO		NULL	
forename	char(16)	NO		NULL	
personSRN	char(7)	NO		NULL	
dob	date	NO		NULL	
approxAgeAtTime	int(11)	NO		NULL	
status	char(16)	NO		NULL	
incidentRef	char(15)	NO		NULL	
reportedDate	date	NO		NULL	
reportedTime	char(5)	NO		NULL	
riskLevel	char(8)	NO		NULL	
missingSinceDate	date	NO		NULL	
missingSinceTime	char(5)	NO		NULL	
missingFor	char(12)	NO		NULL	
childYouth	char(1)	NO		NULL	
inCare	char(1)	NO		NULL	
disability	char(1)	NO		NULL	
absconderFromHospital	char(1)	NO		NULL	
foundDate	date	NO		NULL	
foundTime	char(5)	NO		NULL	
missingFormPremise	char(32)	YES		NULL	
missingFormStreet	char(32)	YES		NULL	
missingFormTown	char(32)	YES		NULL	
missingFormPostCode	char(32)	YES		NULL	
missingFormPremiseKey	char(14)	YES		NULL	
missingFormPremiseType	char(20)	YES		NULL	
missingFormPremiseEasting	char(6)	YES		NULL	
missingFormPremiseNorthing	char(6)	YES		NULL	
homePremise	char(32)	YES		NULL	
homeStreet	char(32)	YES		NULL	
homeTown	char(32)	YES		NULL	
homePostCode	char(32)	YES		NULL	
homePremiseKey	char(14)	YES		NULL	
homePremiseType	char(20)	YES		NULL	
homePremiseEasting	char(6)	YES		NULL	
homePremiseNorthing	char(6)	YES		NULL	
missingFormLocalAuthorityArea	char(20)	YES		NULL	
homeLocalAuthorityArea	char(20)	YES		NULL	
